years,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16
1930,1254.986855,863.5604727,1484.113937,929.6335662,1779.059083,1155.326265,779.4453569,700.4305823,1438.777726,1491.447649,384.1789759,2308.777534,1464.617759,889.012393,1067.922713,1072.751381
1931,1546.680717,854.5908691,1144.56024,744.2248901,1634.664586,1182.661224,852.4954973,621.7819495,1200.729599,975.643502,437.9494525,1668.567588,1739.740988,1083.834635,1023.195662,893.0937707
1932,1287.981291,714.5774618,1090.207018,824.3818683,1530.519578,1079.136683,987.5939989,784.9788095,1333.817119,1188.830496,282.9250299,1767.197339,1597.397988,930.8755212,1692.114101,1158.907993
1933,1286.85103,808.0689854,1207.131091,879.2128257,1606.996345,1279.054807,1151.659676,868.6562997,1016.997615,1074.457688,210.5311361,1761.212975,1552.984944,828.990942,991.4781903,988.4262724
1934,982.4911997,769.3349739,1150.294741,735.3367561,1766.902466,1279.159625,859.5048676,577.3125816,1008.929445,1222.724755,280.0849666,1911.779703,1375.409706,1228.449309,901.146647,1140.118648
1935,1294.724319,767.1767637,1479.827144,804.9498911,2286.133481,1274.397853,893.7187081,504.6768687,1178.963273,1291.201407,303.61848,1743.0816,1394.55027,1314.357494,1121.317107,1046.615429
1936,1110.721063,740.2312822,1251.862952,780.024077,1983.421471,1369.82596,948.8033271,468.4045297,1292.799022,1305.696767,350.7893055,2419.719971,1409.861028,1576.21196,1142.021491,628.100034
1937,1479.780337,822.2723702,1433.893911,717.4117626,1840.093985,1533.375821,870.4896849,443.5079284,1125.576699,1248.943214,346.4187733,1969.623075,1510.979483,1375.713258,1164.479273,770.5569562
1938,1207.551916,1030.433646,1194.060887,890.4913336,1989.177601,1396.037848,873.8674229,617.1663646,981.8614982,1551.584657,577.3249806,2011.746461,1598.450296,1183.478763,994.6134589,671.8760393
1939,1456.552312,910.95554,1056.400865,702.68004,1593.430717,1202.643682,957.5349523,632.3987004,1111.815604,1209.571128,413.6006672,2043.656531,1554.201818,1254.907775,1221.371565,791.37575
1940,1347.131025,839.5527424,1152.900169,852.2848405,1804.125981,1410.425858,879.7308946,892.908545,1092.53662,1270.669348,374.4813261,1998.989104,1597.24962,1285.709897,1181.848046,720.9047835
1941,965.0964263,782.7930763,1158.301651,931.6507125,1822.027136,1304.911273,865.8563295,990.2324959,1083.212218,1193.994798,363.9928007,1659.577335,1559.338913,927.0256196,1030.758198,748.2214422
1942,1241.750978,827.7725559,1249.41273,772.1354335,1579.657256,1434.466709,835.2794145,731.0337366,1029.278496,1179.180315,392.5442556,1819.078717,1447.506775,1304.808942,868.8102569,942.1408461
1943,1038.122556,767.8325508,1087.349591,741.8842156,1624.041944,1367.036212,1033.750604,615.1977132,901.584919,1240.806337,293.5587349,1888.311409,1432.292329,1357.807997,857.4532463,1047.56161
1944,1094.81998,896.042105,1312.022664,728.6475763,1680.488292,1237.539285,996.0976927,590.9023706,868.0782799,1224.167418,432.9789558,1900.254613,1490.534907,1113.915675,786.3165201,746.2287657
1945,1509.699301,823.5749729,1015.314591,1003.245764,1729.502332,1271.877103,901.0798215,735.2005968,1095.836631,1173.50824,563.3841741,1740.87657,1499.483271,1278.618092,1097.816422,869.916998
1946,1174.514175,898.8718319,1287.266367,669.5790687,1859.101545,1304.08087,1109.842542,1103.721686,1030.952489,1226.626895,309.9769058,1559.867078,1304.266422,1394.111443,1184.402482,830.0622365
1947,954.0373576,751.5952742,1303.758838,816.4850891,1898.578429,1227.604594,881.5560179,883.5325025,1157.882026,974.4351487,367.4051482,2340.820282,1657.198656,1571.962089,1098.805878,693.9574947
1948,981.4849465,986.8424008,1383.787828,889.9743001,1560.627467,1392.444196,934.8369547,1122.715168,1255.768018,1124.05,516.0271456,2165.471214,1462.412794,1079.637529,1584.016908,725.2362587
1949,1103.972095,888.413069,1268.707769,753.8771132,1462.43632,1484.574192,1043.662301,606.4991796,1058.74316,1090.377783,395.9185994,1788.51491,1732.561194,1557.271137,937.4924425,838.9366898
1950,1000.835032,908.8284907,1439.492578,811.4890361,1278.743717,1402.602984,930.7921011,790.0716278,1009.284032,1729.759978,478.8070555,2237.015228,1320.497149,1009.289513,1094.242333,829.0699
1951,1451.750209,907.0911087,1525.443816,791.4531394,1555.222418,1193.953603,784.9732658,821.9633616,1250.158421,1486.249738,543.8444432,1734.452101,1743.67817,1361.162933,989.8246178,762.6286892
1952,1289.348122,957.5757005,1355.782002,996.9565237,1840.685747,1146.13649,1097.188311,869.4229021,1256.944719,1124.496875,355.7166526,1878.515951,1510.578868,1428.665894,950.9714198,830.1910096
1953,1309.438453,1094.864215,1245.28266,1063.636665,1737.570008,1405.11614,1061.449872,807.7641549,877.1844249,1393.952231,317.2458703,2191.321569,1574.968955,1364.094547,1264.319357,822.5199063
