years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1944,-0.673349825,0.617388926,0.286431662,-0.247108067,-0.014180553,-0.457877635,0.190657252,-0.775022497,-2.36019329,-0.236963601,0.65134282,0.054405892,-0.112446823,-0.662219437,-1.516712399,-0.58296067
1945,1.35756368,-0.081810966,-1.45635646,2.462054929,0.175631495,-0.186620835,-0.565780334,-0.077602537,-0.282387089,-0.521670504,2.036849502,-0.708724227,-0.034818033,0.119452869,-0.03322761,0.188708642
1946,-0.283231521,0.644691576,0.14101944,-0.829873073,0.677518138,0.067777708,1.096180373,1.703527907,-0.874315655,-0.223141223,-0.655507966,-1.575429532,-1.728362043,0.667580553,0.379129188,-0.059938265
1947,-1.362507648,-0.776307852,0.237892039,0.619489564,0.830396542,-0.536358232,-0.721209399,0.639312941,0.283643995,-1.640470418,-0.045354364,2.163911856,1.333393503,1.511653927,-0.028515435,-0.909072014
1948,-1.228146458,1.493476542,0.707962072,1.344528037,-0.478354258,0.765817209,-0.297039685,1.795326911,1.17664361,-0.799628085,1.533698782,1.324309657,-0.356411611,-0.824902398,2.282249923,-0.71392926
1949,-0.628548476,0.543780091,0.032010934,0.001804456,-0.858609848,1.493612087,0.569319254,-0.699640241,-0.620785414,-0.988867492,0.257590392,-0.480623472,1.98717813,1.441931148,-0.796753325,-0.004572099
1950,-1.133424095,0.740758504,1.035157676,0.570198919,-1.569978857,0.846068096,-0.329240778,0.187599283,-1.07199382,2.604489805,1.138249243,1.666874987,-1.587557341,-1.15877179,-0.050248825,-0.06612928
1951,1.073891807,0.723995355,1.540013496,0.372526421,-0.499285883,-0.802189343,-1.490105007,0.341737919,1.125468073,1.235951074,1.829247168,-0.739485715,2.083620054,0.511207998,-0.547526967,-0.480644407
1952,0.278902578,1.211096474,0.54346294,2.4000058,0.606201016,-1.179927879,0.995439997,0.571118638,1.187378479,-0.797116627,-0.169540259,-0.049682646,0.061438418,0.831574853,-0.732561144,-0.059134872
1953,0.377248583,2.535726166,-0.105582228,3.057866557,0.206874424,0.865921154,0.710926166,0.273110532,-2.277119258,0.717234847,-0.578277936,1.448085708,0.620034906,0.525121341,0.759724715,-0.106993548
1954,0.739042188,0.265716353,-1.735097344,-1.423417868,-0.202102507,0.549829384,-0.577068401,-0.335757411,-0.714342892,1.680269492,-2.010769604,-0.624074987,-0.889414008,-0.40442821,-0.313626402,-0.466061752
1955,-0.0776055,-0.09703613,0.040825942,1.724035094,-1.402473592,1.588930745,-1.430420419,-0.172390435,0.226438541,-1.188490449,1.232873993,-1.832986948,-0.672808157,1.380285833,-1.940137839,-0.269595078
1956,-1.376872112,0.280128714,0.77529343,-1.716584554,0.480653596,-1.763773637,0.665795859,-0.591790641,1.628568861,0.953624661,1.831759116,-0.473546629,2.859968893,1.060364513,0.623428221,1.791439775
1957,-1.1393662,-2.807036239,-1.313724034,-0.016522082,-1.308926738,0.56971461,-0.985975713,0.713294052,-3.299739861,0.441359178,-0.803323374,-1.386080899,0.626283644,0.426394527,0.094691022,-0.109299255
1958,-0.08155788,0.593270206,-1.193202117,0.879668232,0.381827492,-0.34773785,-0.932773955,0.209927289,1.935785315,1.45075432,-0.274031625,0.121211069,1.239565287,-1.442918296,-1.421266366,-0.260717705
1959,-1.319287137,-1.886321444,1.628155015,-0.518716171,-0.815331249,0.74090831,-2.704960185,2.226427668,-0.148828948,1.086899419,-0.105960636,0.028610123,0.141077465,-0.15021634,-1.535110313,-0.012339119
1960,-0.292104439,-0.724201942,-0.566909474,1.135496152,0.008763977,-0.008004047,0.2742677,0.053788405,-1.070290676,1.879062213,-0.759262151,-0.435111832,0.1304703,0.259883538,-1.015461703,0.601280385
1961,-0.344014155,0.59232771,0.495557718,-0.343521098,0.310647278,-0.913932892,-0.23647939,0.455827809,0.828879531,-0.468120823,0.225702514,-0.008760064,-0.700701031,0.106928858,-0.890228883,2.935533228
1962,-0.205787405,-0.349369761,0.076423532,-1.210799549,-0.976326362,-3.113564732,-0.940778481,0.914874957,0.802349029,-0.247716594,0.256001627,2.025620595,-1.61509375,0.470976453,-0.078377514,-0.543598256
1963,-0.989733286,-0.961804585,-0.427678732,0.607037164,1.296832617,-0.806283086,-1.187096963,-0.522745017,0.03076748,-0.918534084,-0.373031942,-1.277786497,-0.55479823,-1.430013805,0.721626442,0.85673518
1964,-0.244230835,-1.278344218,-0.485658322,-1.443172961,-1.015966432,0.553702135,0.186853364,-1.25260641,-1.448185475,-1.731976923,-0.431889854,-0.846818832,-0.1549312,0.388886399,-0.005194506,-0.680553482
1965,-0.141137573,0.765118675,0.637910746,-1.009867327,-1.907476654,-1.015765325,-0.367539458,-0.703130717,0.768649878,1.672018646,1.021213924,-0.356225937,-0.607180571,0.330092508,-1.202137114,-0.509719817
1966,0.55172571,-1.350230026,-0.395703239,0.59362718,-0.842283885,-2.249878327,-1.31782926,-0.812567246,-0.073667588,-0.495309771,0.771705559,-1.550684254,-0.648303018,-0.101053956,-0.491609673,-0.816799641
