years,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15
2119,-0.188455224,0.834266191,1.699802418,-1.167010305,1.538052347,1.157545973,-1.264543481,0.508864659,0.193654807,-0.941032462,0.155690352,0.070890039,1.850822742,3.476898679,-0.211798631,1.346161002
2120,0.119727289,2.667613195,-0.842840772,-0.434255415,2.104650417,-0.798304057,-1.512238789,-1.205712238,2.222341395,-2.543688767,-0.520655747,0.782509149,2.264932302,2.270235813,-0.775698376,0.784259156
2121,-0.355298743,1.928041746,0.43015646,-0.262979342,0.664598918,2.063966094,-0.251738793,1.064845747,-0.655527851,0.134103777,0.883635559,2.2671894,0.258574839,1.911794046,2.56100165,0.928245053
2122,0.950631206,0.836197794,0.072606085,-0.777531891,0.999469726,-0.797853184,0.775829987,1.282158453,0.682218313,0.260286704,-0.425748145,0.145855835,1.995411204,2.158843125,-0.079705695,-1.365453865
2123,2.888053596,1.803357327,-0.356801058,0.590910845,0.208921472,1.357535047,0.921250873,-0.211299177,-1.166979816,1.508506058,-1.846944796,0.486592634,0.374216721,0.906820527,0.90226973,0.738448389
2124,-0.227879739,3.911832216,0.89018931,-1.674163175,-0.567861469,-0.132001474,0.567455724,-0.146050487,1.121401453,0.033156741,-2.457688076,1.338385478,0.385743672,2.168825068,0.039040242,-1.001694207
2125,-0.311188799,1.799272539,3.092249646,1.295666121,-0.453237057,-0.001259684,-0.283620306,-0.447525761,0.539471023,-0.18363341,-2.863093752,1.153721392,1.471298607,2.064064085,0.986948052,-0.652712465
2126,-1.080340831,1.386136921,1.008479076,0.002915318,-0.571151148,0.464760043,-0.922644817,0.716798081,-0.292516877,-0.474366532,-0.485149935,3.748196946,2.009289785,2.186737981,0.316344874,0.934990558
2127,1.106007513,1.921256202,0.030669175,0.332341355,0.024343127,1.030363014,-0.326008572,-0.065190548,-1.090436412,-0.941702209,-0.076942614,0.560293069,1.005909418,2.004722367,-0.848755427,0.633459679
2128,-0.169358924,2.941481771,1.142501087,0.523378599,0.26145916,0.35527313,1.408270207,0.412450301,-0.325186728,0.959591738,0.124090466,0.660267847,0.67806248,2.766592635,0.985365448,-0.540546491
2129,-1.000204382,1.48117174,1.514879704,-1.435367519,0.10971277,1.078706843,1.294426413,0.97238697,1.257363304,0.35719879,-0.252017222,-0.908927286,-0.682719095,2.242819366,-0.161538036,0.034298538
2130,-0.736184268,2.202022662,1.100749662,-0.042934483,0.677010459,1.329256029,0.552164237,0.401241603,0.631745701,-0.033286711,-0.952342647,2.064282832,0.241670272,3.536284163,3.492508799,-1.753652401
2131,-0.375351275,1.951511221,0.688413246,1.406717213,1.263174737,0.408331326,0.398048877,-0.225758526,-0.62177037,-1.412524513,-2.968500643,0.956805647,0.389360677,2.610042405,-1.053251419,-0.803371747
2132,1.590664641,1.411779,0.912511263,0.393857162,-0.670396296,-1.902324691,0.962314513,1.858233141,-0.642517281,-1.498864695,0.16222433,-0.710005687,0.85400827,3.471863476,-0.983011089,0.965837513
2133,-0.74912671,2.912014906,0.495358803,-0.740335982,-1.051378359,-0.711452827,1.918094638,0.118802501,1.220304286,-1.289121142,-0.27537313,0.832419122,1.635180503,3.591760151,-1.283426376,0.948878403
2134,2.368433903,0.865733132,0.556543062,0.593023381,0.654723809,1.249866316,1.342828406,-0.362222768,0.710496988,-1.390443294,0.816154219,0.913928151,-2.112988808,2.563671352,1.758500799,-0.34170124
2135,2.107654926,2.1652438,0.967125362,0.913639259,1.879436193,1.064399578,1.693755916,0.037339837,0.118918345,-1.154064787,0.356611683,0.359928013,0.565088944,2.471614493,2.998734866,0.392244047
2136,1.710966447,1.697543128,0.959122401,-0.639092585,0.372694447,-1.176344506,1.183188045,0.776869773,-1.007218018,-0.270653028,-1.779409826,1.467165266,-0.637720965,1.100096819,-0.231656509,0.860958722
2137,-0.577291751,1.821186929,-0.210888323,0.391680307,0.0290941,0.425137127,-0.528934524,0.7165955,1.63137358,-0.408816434,-0.28571115,-0.091158477,-1.026753461,2.35098721,-0.340072022,-0.094787712
2138,-1.311344609,2.405664619,0.72880879,-0.108329082,0.244391997,0.277465498,-2.158159963,0.519678912,-0.396276395,-0.882088619,0.255515077,1.405602671,2.717798185,1.800678111,0.507854469,-1.276242672
2139,1.955776776,1.953853253,1.526116839,-0.067433607,1.248273202,1.700949579,-2.360552042,-0.223218716,-2.694843042,-1.513102787,-1.410052785,1.831325894,0.934773862,2.221556896,0.401337647,0.282694292
2140,1.288303516,1.027056612,2.548714974,-0.503071479,0.852350807,-0.12310362,-0.973334606,0.768018131,-0.208144725,-2.318851362,-0.545654807,0.241327154,-0.444195458,2.108873267,0.850392028,1.004993644
2141,0.104518655,0.950511861,-0.36823215,-0.197674925,0.967289632,0.076220985,-0.632442437,0.85542241,1.31226219,0.393205137,-0.984207563,1.005947471,-0.343289234,1.922928196,-0.578113885,-0.743735133
2142,-0.50838659,1.322674541,-0.148376941,0.308410953,1.934889595,0.422752469,-0.320582542,-0.802929928,2.114622075,0.400928771,1.133650932,1.082907543,0.432226133,2.722436469,0.583564454,-1.618525314
2143,-0.184496819,1.72727536,0.301289777,-0.045094072,0.592120727,-1.641191953,-1.07108917,-2.07363882,-0.406226219,-0.541816317,-1.036820775,0.22672149,0.240268315,3.032628599,3.086546327,-0.398149935
2144,0.614162099,2.084791663,2.324955346,0.876901436,1.559566406,0.120406366,0.033500374,0.410930926,-0.053467787,-1.308549705,-1.502943842,1.108282509,0.267520266,3.156233901,-2.301364137,1.507465265
2145,0.229764535,2.889929008,1.214992431,-1.708817073,1.219328959,0.391256383,-0.066135942,1.272644294,0.17020573,-0.636014174,-0.153555707,0.183785553,0.825722087,3.068993039,0.036931412,0.565221686
2146,0.224803955,1.986135796,0.415857377,0.28506704,0.68800125,1.289114181,-1.632278917,0.233478736,-0.633335922,-0.55226852,1.667888385,0.682324281,0.68549463,2.507346543,-0.627228589,-0.026891505
